"Kod";"Nazwa";"Rodzaje chorób";"Wiek";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"ogółem";"ogółem";"1999";12179;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2000";11477;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2001";10672;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2002";10475;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2003";10124;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2004";9493;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2005";9269;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2006";8587;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2007";8614;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2008";8081;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2009";8236;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2010";7509;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2011";8478;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2012";7542;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2013";7250;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2014";6698;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2015";6430;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2016";6444;"osoba";"";
0000000;"POLSKA";"ogółem";"0-14";"1999";108;"osoba";"";
0000000;"POLSKA";"ogółem";"0-14";"2000";103;"osoba";"";
0000000;"POLSKA";"ogółem";"0-14";"2001";124;"osoba";"";
0000000;"POLSKA";"ogółem";"0-14";"2002";125;"osoba";"";
0000000;"POLSKA";"ogółem";"0-14";"2003";100;"osoba";"";
0000000;"POLSKA";"ogółem";"0-14";"2004";120;"osoba";"";
0000000;"POLSKA";"ogółem";"0-14";"2005";99;"osoba";"";
0000000;"POLSKA";"ogółem";"0-14";"2006";69;"osoba";"";
0000000;"POLSKA";"ogółem";"0-14";"2007";74;"osoba";"";
0000000;"POLSKA";"ogółem";"0-14";"2008";76;"osoba";"";
0000000;"POLSKA";"ogółem";"0-14";"2009";99;"osoba";"";
0000000;"POLSKA";"ogółem";"0-14";"2010";62;"osoba";"";
0000000;"POLSKA";"ogółem";"0-14";"2011";111;"osoba";"";
0000000;"POLSKA";"ogółem";"0-14";"2012";95;"osoba";"";
0000000;"POLSKA";"ogółem";"0-14";"2013";116;"osoba";"";
0000000;"POLSKA";"ogółem";"0-14";"2014";70;"osoba";"";
0000000;"POLSKA";"ogółem";"0-14";"2015";81;"osoba";"";
0000000;"POLSKA";"ogółem";"0-14";"2016";103;"osoba";"";
0000000;"POLSKA";"ogółem";"15-19";"1999";268;"osoba";"";
